Year,Movie Title,Actors,Gender,Race
1959,Ben-Hur, Stephen Boyd,Male,White
1960,Spartacus,Kirk Douglas,Male,White
1960,Spartacus,Laurence Olivier,Male,White
1960,Spartacus,Jean Simmons,Female,White
1960,Spartacus,Charles Laughton,Male,White
1961,One Hundred and One Dalmatians,Rod Taylor,Male,White
1961,One Hundred and One Dalmatians, J. Pat O'Malley,Male,White
1961,One Hundred and One Dalmatians, Betty Lou Gerson,Female,White
1961,One Hundred and One Dalmatians, Martha Wentworth,Female,White
1962,Cape Fear,Gregory Peck,Male,White
1962,Cape Fear,Robert Mitchum,Male,White
1962,Cape Fear,Polly Bergen,Female,White
1962,Cape Fear,Lori Martin,Female,White
1963,From Russia with Love,Sean Connery,Male,White
1963,From Russia with Love,Daniela Bianchi,Female,White
1963,From Russia with Love,Pedro Armendariz,Male,White
1963,From Russia with Love, Lotte Lenya,Female,White
1964,Goldfinger,Sean Connery,Male,White
1964,Goldfinger,Gert Frobe,Male,White
1964,Goldfinger, Honor Blackman,Female,White
1964,Goldfinger, Shirley Eaton,Female,White
1965,The Sound of Music,Julie Andrews,Female,White
1965,The Sound of Music, Christopher Plummer,Male,White
1965,The Sound of Music, Eleanor Parker,Female,White
1965,The Sound of Music, Richard Haydn,Male,White
1966,Hawaii,Julie Andrews,Female,White
1966,Hawaii,Max von Sydow,Male,White
1966,Hawaii,Richard Harris,Male,White
1966,Hawaii,Gene Hackman,Male,White
1967,The Jungle Book,Phil Harris,Male,White
1967,The Jungle Book,Sebastian Cabot,Male,White
1967,The Jungle Book,Bruce Reitherman,Male,White
1967,The Jungle Book,George Sanders,Male,White
1968,2001: A Space Odyssey,Keir Dullea,Male,White
1968,2001: A Space Odyssey, Gary Lockwood,Male,White
1968,2001: A Space Odyssey, William Sylvester,Male,White
1968,2001: A Space Odyssey, Daniel Richter,Male,White
1969,Butch Cassidy and the Sundance Kid,Paul Newman,Male,White
1969,Butch Cassidy and the Sundance Kid, Robert Redford,Male,White
1969,Butch Cassidy and the Sundance Kid, Katharine Ross,Female,White
1969,Butch Cassidy and the Sundance Kid, Strother Martin,Male,White
1970,Love Story,Ali MacGraw,Female,White
1970,Love Story, Ryan O'Neal,Male,White
1970,Love Story, John Marley,Male,White
1970,Love Story, Ray Milland,Male,White
1971,Lady Frankenstein,Joseph Cotten,Male,White
1971,Lady Frankenstein, Rosalba Neri,Female,White
1971,Lady Frankenstein, Paul Muller,Male,White
1971,Lady Frankenstein, Riccardo Pizzuti,Male,White
1972,The Godfather,Marlon Brando,Male,White
1972,The Godfather, Al Pacino,Male,White
1972,The Godfather, James Caan,Male,White
1972,The Godfather, Richard S. Castellano,Male,White
1973,The Exorcist,Ellen Burstyn,Female,White
1973,The Exorcist, Max von Sydow,Male,White
1973,The Exorcist, Lee J. Cobb,Male,White
1973,The Exorcist, Kitty Winn,Female,White
1974,Blazing Saddles,Cleavon Little,Male,Not White
1974,Blazing Saddles, Gene Wilder,Male,White
1974,Blazing Saddles, Slim Pickens,Male,White
1974,Blazing Saddles, Harvey Korman,Male,White
1975,Jaws,Roy Scheider,Male,White
1975,Jaws, Robert Shaw,Male,White
1975,Jaws, Richard Dreyfuss,Male,White
1975,Jaws, Lorraine Gary,Female,White
1976,To Fly!,Ellen Bry,Female,White
1976,To Fly!, Jennifer Kaye Evans,Female,White
1977,Star Wars,Mark Hamill,Male,White
1977,Star Wars, Harrison Ford,Male,White
1977,Star Wars, Carrie Fisher,Female,White
1977,Star Wars, Peter Cushing,Male,White
1978,Superman,Marlon Brando,Male,White
1978,Superman, Gene Hackman,Male,White
1978,Superman, Christopher Reeve,Male,White
1978,Superman, Ned Beatty,Male,White
1979,Moonraker,Roger Moore,Male,White
1979,Moonraker, Lois Chiles,Female,White
1979,Moonraker, Michael Lonsdale,Male,White
1979,Moonraker, Richard Kiel,Male,White
1980,The Empire Strikes Back,Mark Hamill,Male,White
1980,The Empire Strikes Back, Harrison Ford,Male,White
1980,The Empire Strikes Back, Carrie Fisher,Female,White
1980,The Empire Strikes Back, Billy Dee Williams,Male,Not White
1981,Raiders of the Lost Ark,Harrison Ford,Male,White
1981,Raiders of the Lost Ark, Karen Allen,Female,White
1981,Raiders of the Lost Ark, Paul Freeman,Male,White
1981,Raiders of the Lost Ark, Ronald Lacey,Male,White
1982,E.T. the Extra-Terrestrial,Dee Wallace,Female,White
1982,E.T. the Extra-Terrestrial, Henry Thomas,Male,White
