Year,Movie Title,Actor,Gender,Race
1960,The Apartment, Shirley MacLaine,Female,White
1960,The Apartment, Fred MacMurray,Male,White
1960,The Apartment, Ray Walston,Male,White
1961,West Side Story,Natalie Wood,Female,White
1961,West Side Story, Richard Beymer,Male,White
1961,West Side Story, Russ Tamblyn,Male,White
1961,West Side Story, Rita Moreno,Female,Not White
1962,Lawrence of Arabia,Peter O'Toole,Male,White
1962,Lawrence of Arabia, Alec Guinness,Male,White
1962,Lawrence of Arabia, Anthony Quinn,Male,Not White
1962,Lawrence of Arabia, Jack Hawkins,Male,White
1963,Tom Jones,George Devine,Male,White
1963,Tom Jones, Rachel Kempson,Female,White
1963,Tom Jones, Angela Baddeley,Female,White
1963,Tom Jones, Joyce Redman,Female,White
1964,My Fair Lady,Audrey Hepburn,Female,White
1964,My Fair Lady, Rex Harrison,Male,White
1964,My Fair Lady, Stanley Holloway,Male,White
1964,My Fair Lady, Wilfrid Hyde-White,Male,White
1965,The Sound of Music,Julie Andrews,Female,White
1965,The Sound of Music, Christopher Plummer,Male,White
1965,The Sound of Music, Eleanor Parker,Female,White
1965,The Sound of Music, Richard Haydn,Male,White
1966,A Man for All Seasons,Paul Scofield,Male,White
1966,A Man for All Seasons, Wendy Hiller,Female,White
1966,A Man for All Seasons, Leo McKern,Male,White
1966,A Man for All Seasons, Robert Shaw,Male,White
1967,In the Heat of the Night,Sidney Poitier,Male,Not White
1967,In the Heat of the Night, Rod Steiger,Male,White
1967,In the Heat of the Night, Warren Oates,Male,White
1967,In the Heat of the Night, Lee Grant,Female,White
1968,Oliver!,Ron Moody,Male,White
1968,Oliver!, Shani Wallis,Female,White
1968,Oliver!, Oliver Reed,Male,White
1968,Oliver!, Harry Secombe,Male,White
1969,Midnight Cowboy,Dustin Hoffman,Male,White
1969,Midnight Cowboy, Jon Voight,Male,White
1969,Midnight Cowboy, Sylvia Miles,Female,White
1969,Midnight Cowboy, John McGiver,Male,White
1970,Patton,George C. Scott,Male,White
1970,Patton, Karl Malden,Male,White
1970,Patton, Stephen Young,Male,White
1970,Patton, Michael Strong,Male,White
1971,The French Connection,Gene Hackman,Male,White
1971,The French Connection, Fernando Rey,Male,Not White
1971,The French Connection, Roy Scheider,Male,White
1971,The French Connection, Tony Lo Bianco,Male,White
1972,The Godfather,Marlon Brando,Male,White
1972,The Godfather, Al Pacino,Male,White
1972,The Godfather, James Caan,Male,White
