year,category,winner,entity
1930,CINEMATOGRAPHY,No,Svengali
1930,CINEMATOGRAPHY,Yes,Tabu
1930,DIRECTING,No,Cimarron
1930,DIRECTING,No,A Free Soul
1930,DIRECTING,No,The Front Page
1930,DIRECTING,No,Morocco
1930,DIRECTING,Yes,Skippy
1930,OUTSTANDING PRODUCTION,Yes,Cimarron
1930,OUTSTANDING PRODUCTION,No,East Lynne
1930,OUTSTANDING PRODUCTION,No,The Front Page
1930,OUTSTANDING PRODUCTION,No,Skippy
1930,OUTSTANDING PRODUCTION,No,Trader Horn
1930,SOUND RECORDING,No,Samuel Goldwyn - United Artists Studio Sound Department
1930,SOUND RECORDING,No,Metro-Goldwyn-Mayer Studio Sound Department
1930,SOUND RECORDING,Yes,Paramount Publix Studio Sound Department
1930,SOUND RECORDING,No,RKO Radio Studio Sound Department
1930,WRITING (Adaptation),Yes,Cimarron
1930,WRITING (Adaptation),No,The Criminal Code
1930,WRITING (Adaptation),No,Holiday
1930,WRITING (Adaptation),No,Little Caesar
1930,WRITING (Adaptation),No,Skippy
1930,WRITING (Original Story),Yes,The Dawn Patrol
1930,WRITING (Original Story),No,The Doorway to Hell
1930,WRITING (Original Story),No,Laughter
1930,WRITING (Original Story),No,The Public Enemy
1930,WRITING (Original Story),No,Smart Money
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),Yes,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),Yes,To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class II),Yes,To FOX FILM CORP. for effective use of synchro-projection composite photography.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters."
1931,ACTOR,Yes,Wallace Beery
1931,ACTOR,No,Alfred Lunt
1931,ACTOR,Yes,Fredric March
1931,ACTRESS,No,Marie Dressler
1931,ACTRESS,No,Lynn Fontanne
1931,ACTRESS,Yes,Helen Hayes
1931,ART DIRECTION,No,À Nous la Liberté
1931,ART DIRECTION,No,Arrowsmith
1931,ART DIRECTION,Yes,Transatlantic
1931,CINEMATOGRAPHY,No,Arrowsmith
1931,CINEMATOGRAPHY,No,Dr. Jekyll and Mr. Hyde
1931,CINEMATOGRAPHY,Yes,Shanghai Express
1931,DIRECTING,Yes,Bad Girl
1931,DIRECTING,No,The Champ
1931,DIRECTING,No,Shanghai Express
1931,OUTSTANDING PRODUCTION,No,Arrowsmith
1931,OUTSTANDING PRODUCTION,No,Bad Girl
