Year,Movie Title,Actor
1967,In the Heat of the Night, Warren Oates
1967,In the Heat of the Night, Lee Grant
1968,Oliver!,Ron Moody
1968,Oliver!, Shani Wallis
1968,Oliver!, Oliver Reed
1968,Oliver!, Harry Secombe
1969,Midnight Cowboy,Dustin Hoffman
1969,Midnight Cowboy, Jon Voight
1969,Midnight Cowboy, Sylvia Miles
1969,Midnight Cowboy, John McGiver
1970,Patton,George C. Scott
1970,Patton, Karl Malden
1970,Patton, Stephen Young
1970,Patton, Michael Strong
1971,The French Connection,Gene Hackman
1971,The French Connection, Fernando Rey
1971,The French Connection, Roy Scheider
1971,The French Connection, Tony Lo Bianco
1972,The Godfather,Marlon Brando
1972,The Godfather, Al Pacino
1972,The Godfather, James Caan
1972,The Godfather, Richard S. Castellano
1973,The Sting,Paul Newman
1973,The Sting, Robert Redford
1973,The Sting, Robert Shaw
1973,The Sting, Charles Durning
1974,The Godfather Part II,Al Pacino
1974,The Godfather Part II, Robert Duvall
1974,The Godfather Part II, Diane Keaton
1974,The Godfather Part II, Robert De Niro
1975,One Flew over the Cuckoo's Nest,Jack Nicholson
1975,One Flew over the Cuckoo's Nest, Louise Fletcher
1975,One Flew over the Cuckoo's Nest, Will Sampson
1975,One Flew over the Cuckoo's Nest, Michael Berryman
1976,Rocky,Sylvester Stallone
1976,Rocky, Talia Shire
1976,Rocky, Burt Young
1976,Rocky, Carl Weathers
1977,Annie Hall,Woody Allen
1977,Annie Hall, Diane Keaton
1977,Annie Hall, Tony Roberts
1977,Annie Hall, Carol Kane
1978,The Deer Hunter,Robert De Niro
1978,The Deer Hunter, John Cazale
1978,The Deer Hunter, John Savage
1978,The Deer Hunter, Christopher Walken
1979,Kramer vs. Kramer,Dustin Hoffman
1979,Kramer vs. Kramer, Meryl Streep
1979,Kramer vs. Kramer, Jane Alexander
1979,Kramer vs. Kramer, Justin Henry
1980,Ordinary People,Donald Sutherland
1980,Ordinary People, Mary Tyler Moore
1980,Ordinary People, Judd Hirsch
1980,Ordinary People, Timothy Hutton
1981,Chariots of Fire,Nicholas Farrell
1981,Chariots of Fire, Nigel Havers
1981,Chariots of Fire, Ian Charleson
1981,Chariots of Fire, Ben Cross
1982,Gandhi,Ben Kingsley
1982,Gandhi, Rohini Hattangadi
1982,Gandhi, Roshan Seth
1982,Gandhi, Candice Bergen
1983,Terms of Endearment,Shirley MacLaine
1983,Terms of Endearment, Debra Winger
1983,Terms of Endearment, Jack Nicholson
1983,Terms of Endearment, Danny DeVito
1984,Amadeus,F. Murray Abraham
1984,Amadeus, Tom Hulce
1984,Amadeus, Elizabeth Berridge
1984,Amadeus, Roy Dotrice
1985,Out of Africa,Meryl Streep
1985,Out of Africa, Robert Redford
1985,Out of Africa, Klaus Maria Brandauer
1985,Out of Africa, Michael Kitchen
1986,Platoon,Keith David
1986,Platoon, Forest Whitaker
1986,Platoon, Francesco Quinn
1986,Platoon, Kevin Dillon
1987,The Last Emperor,John Lone
1987,The Last Emperor, Joan Chen
1987,The Last Emperor, Peter O'Toole
1987,The Last Emperor, Ruocheng Ying
1988,Rain Man,Dustin Hoffman
1988,Rain Man, Tom Cruise
1988,Rain Man, Valeria Golino
1988,Rain Man, Gerald R. Molen
1989,Driving Miss Daisy,Morgan Freeman
1989,Driving Miss Daisy, Jessica Tandy
1989,Driving Miss Daisy, Dan Aykroyd
1989,Driving Miss Daisy, Patti LuPone
1990,Dances With Wolves,Kevin Costner
1990,Dances With Wolves, Mary McDonnell
1990,Dances With Wolves, Graham Greene
1990,Dances With Wolves, Rodney A. Grant
1991,The Silence of the Lambs,Jodie Foster
1991,The Silence of the Lambs, Lawrence A. Bonney
1991,The Silence of the Lambs, Kasi Lemmons
1991,The Silence of the Lambs, Lawrence T. Wrentz
1992,Unforgiven,Clint Eastwood
1992,Unforgiven, Gene Hackman
1992,Unforgiven, Morgan Freeman
1992,Unforgiven, Richard Harris
1993,Schindler's List,Liam Neeson
1993,Schindler's List, Ben Kingsley
1993,Schindler's List, Ralph Fiennes
1993,Schindler's List, Caroline Goodall
1994,Forrest Gump,Tom Hanks
1994,Forrest Gump, Rebecca Williams
1994,Forrest Gump, Sally Field
1994,Forrest Gump, Michael Conner Humphreys
1995,Braveheart,James Robinson
1995,Braveheart, Sean Lawlor
1995,Braveheart, Sandy Nelson
1995,Braveheart, James Cosmo
1996,The English Patient,Ralph Fiennes
1996,The English Patient, Juliette Binoche
1996,The English Patient, Willem Dafoe
1996,The English Patient, Kristin Scott Thomas
1997,Titanic,Leonardo DiCaprio
1997,Titanic, Kate Winslet
1997,Titanic, Billy Zane
1997,Titanic, Kathy Bates
1998,Shakespeare in Love,Geoffrey Rush
1998,Shakespeare in Love, Tom Wilkinson
1998,Shakespeare in Love, Steven O'Donnell
1998,Shakespeare in Love, Tim McMullan
1999,American Beauty,Kevin Spacey
1999,American Beauty, Annette Bening
1999,American Beauty, Thora Birch
1999,American Beauty, Wes Bentley
2000,Gladiator,Russell Crowe
2000,Gladiator, Joaquin Phoenix
2000,Gladiator, Connie Nielsen
2000,Gladiator, Oliver Reed
2001,A Beautiful Mind,Russell Crowe
2001,A Beautiful Mind, Ed Harris
2001,A Beautiful Mind, Jennifer Connelly
2001,A Beautiful Mind, Christopher Plummer
2002,Chicago,Taye Diggs
2002,Chicago, Cliff Saunders
2002,Chicago, Catherine Zeta-Jones
2002,Chicago, Renée Zellweger
2003,The Lord of the Rings: The Return of the King,Noel Appleby
2003,The Lord of the Rings: The Return of the King, Ali Astin
2003,The Lord of the Rings: The Return of the King, Sean Astin
2003,The Lord of the Rings: The Return of the King, David Aston
2004,Million Dollar Baby,Clint Eastwood
2004,Million Dollar Baby, Hilary Swank
2004,Million Dollar Baby, Morgan Freeman
2004,Million Dollar Baby, Jay Baruchel
2005,Crash,Karina Arroyave
2005,Crash, Dato Bakhtadze
2005,Crash, Sandra Bullock
2005,Crash, Don Cheadle
2006,The Departed,Leonardo DiCaprio
2006,The Departed, Matt Damon
2006,The Departed, Jack Nicholson
2006,The Departed, Mark Wahlberg
2007,No Country for Old Men,Tommy Lee Jones
2007,No Country for Old Men, Javier Bardem
2007,No Country for Old Men, Josh Brolin
2007,No Country for Old Men, Woody Harrelson
2008,Slumdog Millionaire,Dev Patel
2008,Slumdog Millionaire, Saurabh Shukla
2008,Slumdog Millionaire, Anil Kapoor
2008,Slumdog Millionaire, Raj Zutshi
2009,The Hurt Locker,Jeremy Renner
2009,The Hurt Locker, Anthony Mackie
2009,The Hurt Locker, Brian Geraghty
2009,The Hurt Locker, Guy Pearce
2010,The King's Speech,Colin Firth
2010,The King's Speech, Helena Bonham Carter
2010,The King's Speech, Derek Jacobi
2010,The King's Speech, Robert Portal
2011,The Artist,Jean Dujardin
2011,The Artist, Bérénice Bejo
2011,The Artist, John Goodman
2011,The Artist, James Cromwell
2012,Argo,Ben Affleck
2012,Argo, Bryan Cranston
2012,Argo, Alan Arkin
2012,Argo, John Goodman
2013,12 Years a Slave,Chiwetel Ejiofor
2013,12 Years a Slave, Dwight Henry
2013,12 Years a Slave, Dickie Gravois
2013,12 Years a Slave, Bryan Batt
2014,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton
2014,Birdman or (The Unexpected Virtue of Ignorance), Emma Stone
2014,Birdman or (The Unexpected Virtue of Ignorance), Kenny Chin
2014,Birdman or (The Unexpected Virtue of Ignorance), Jamahl Garrison-Lowe
2015,Spotlight,Mark Ruffalo
2015,Spotlight, Michael Keaton
2015,Spotlight, Rachel McAdams
2015,Spotlight, Liev Schreiber
2016,Moonlight,Mahershala Ali
2016,Moonlight, Shariff Earp
2016,Moonlight, Duan Sanderson
2016,Moonlight, Alex R. Hibbert
2017,The Shape of Water,Sally Hawkins
2017,The Shape of Water, Michael Shannon
2017,The Shape of Water, Richard Jenkins
2017,The Shape of Water, Octavia Spencer
2018,Green Book,Viggo Mortensen
2018,Green Book, Mahershala Ali
2018,Green Book, Linda Cardellini
2018,Green Book, Sebastian Maniscalco
2019,Parasite,Kang-ho Song
2019,Parasite, Sun-kyun Lee
2019,Parasite, Yeo-jeong Jo
2019,Parasite, Woo-sik Choi
